040T22440S40_5_T 	1-DD1.12: 17
040T22440S40_5_A 	1-DD1.12: 18
040T22440S40_5_E 	1-DD1.12: 19
040T22440S40_5_B 	1-DD1.12: 22
040T22440S40_5_F 	1-DD1.12: 23
040T22448S02_2_H 	1-DD1.12: 24
040T22448S02_2_  	1-DD1.12: 25
040T22448S02_2_C 	
040T22448S02_2_D 	1-DD1.12: 27
040T22448S02_2_T 	1-DD1.12: 28
040T22448S02_2_A 	1-DD1.12: 29
040T22448S02_2_E 	1-DD1.12: 32
040T22448S02_2_B 	1-DD1.12: 33
040T22448S02_2_F 	1-DD1.12: 34
040T22447S63_1_H 	1-DD1.6: 2
040T22447S63_1_I 	1-DD1.6: 3
040T22447S63_1_  	1-DD1.6: 4
040T22447S63_1_D 	
040T22447S63_1_T 	1-DD1.6: 6
040T22447S63_1_A 	1-DD1.6: 7
040T22447S63_1_E 	1-DD1.6: 8
040T22447S63_1_B 	1-DD1.6: 9
040T22447S63_1_F 	1-DD1.6: 12
040T22447S41_2_H 	1-DD1.6: 13
040T22447S41_2_I 	1-DD1.6: 14
040T22447S41_2_C 	1-DD1.6: 15
040T22447S41_2_  	1-DD1.6: 16
040T22447S41_2_T 	
040T22447S41_2_A 	1-DD1.6: 18
040T22447S41_2_E 	1-DD1.6: 19
040T22447S41_2_B 	1-DD1.6: 22
040T22447S41_2_F 	1-DD1.6: 23
040T22447S11_4_H 	1-DD1.6: 24
040T22447S11_4_I 	1-DD1.6: 25
040T22447S11_4_C 	1-DD1.6: 26
040T22447S11_4_D 	1-DD1.6: 27
040T22447S11_4_  	1-DD1.6: 28
040T22447S11_4_A 	
040T22447S11_4_E 	1-DD1.6: 32
040T22447S11_4_B 	1-DD1.6: 33
040T22447S11_4_F 	1-DD1.6: 34
040T22550S63_6_H 	1-DD1.13: 2
040T22550S63_6_I 	1-DD1.13: 3
040T22550S63_6_C 	1-DD1.13: 4
040T22550S63_6_D 	1-DD1.13: 5
040T22550S63_6_T 	1-DD1.13: 6
040T22550S63_6_  	1-DD1.13: 7
040T22550S63_6_E 	
040T22550S63_6_B 	1-DD1.13: 9
040T22550S63_6_F 	1-DD1.13: 12
040T22550S60_7_H 	1-DD1.13: 13
040T22550S60_7_I 	1-DD1.13: 14
040T22550S60_7_C 	1-DD1.13: 15
040T22550S60_7_D 	1-DD1.13: 16
040T22550S60_7_T 	1-DD1.13: 17
040T22550S60_7_A 	1-DD1.13: 18
